,text,labels
1047,"After months of training, I’m finally ready to climb Annapurna.",O O O O O O O O O O
1048,Cho Oyu is the highest mountain in its region.,B-Mountain I-Mountain O O O O O O O
1049,The locals have a rich history of guiding climbers to the top of Cho Oyu.,O O O O O O O O O O O O O B-Mountain O
1050,Hiking around Manaslu is an unforgettable experience.,O O B-Mountain O O O O
1051,Mount Elbrus is known for its long and dangerous ascent.,B-Mountain I-Mountain O O O O O O O O
1052,I plan to climb Makalu next summer.,O O O O B-Mountain O O
1053,Hiking around Mount Everest is an unforgettable experience.,O O B-Mountain I-Mountain O O O O
1054,The glaciers of Dhaulagiri are stunning.,O O O B-Mountain O O
1055,Climbers often talk about the challenges of scaling Mount Everest.,O O O O O O O O B-Mountain O
1056,Do you know the history of expeditions to Cho Oyu?,O O O O O O O O B-Mountain O
1057,The weather near Lhotse can change rapidly.,O O O B-Mountain O O O
1058,Many mountaineers attempt to conquer Mount Fuji every year.,O O O O O B-Mountain I-Mountain O O
1059,Climbers often talk about the challenges of scaling Mount Kilimanjaro.,O O O O O O O O B-Mountain O
1060,Mountaineers often face severe weather conditions on Lhotse.,O O O O O O O O
1061,The base camp of Aconcagua attracts adventurers from all over the world.,O O O O B-Mountain O O O O O O O
1062,Mount Elbrus is a less crowded mountain compared to some others.,B-Mountain I-Mountain O O O O O O O O O
1063,Photographers love capturing the beauty of Annapurna.,O O O O O O O
1064,Mount Everest is one of the tallest peaks in the world.,B-Mountain I-Mountain O O O O O O O O O
1065,Mount Fuji is a less crowded mountain compared to some others.,B-Mountain I-Mountain O O O O O O O O O
1066,The landscape around Denali is truly breathtaking.,O O O B-Mountain O O O
1067,Manaslu is known for its long and dangerous ascent.,B-Mountain O O O O O O O O
1068,"After months of training, I’m finally ready to climb Cho Oyu.",O O O O O O O O O B-Mountain O
1069,I met a group who had just returned from their climb of Mount Everest.,O O O O O O O O O O O O B-Mountain O
1070,Several expeditions to Dhaulagiri have been successful this year.,O O O B-Mountain O O O O O
1071,"In the winter, climbing Dhaulagiri becomes even more challenging.",O O O O B-Mountain O O O O
1072,Dhaulagiri is known for its long and dangerous ascent.,B-Mountain O O O O O O O O
1073,Annapurna is known for its long and dangerous ascent.,B-Mountain O O O O O O O O
1074,Dhaulagiri is known for its incredible views.,B-Mountain O O O O O O
1075,We visited the base camp of Mount Kilimanjaro.,O O O O O O B-Mountain O
1076,Mount Elbrus is known for its incredible views.,B-Mountain I-Mountain O O O O O O
1077,Cho Oyu is known for its long and dangerous ascent.,B-Mountain I-Mountain O O O O O O O O
1078,Reaching the summit of Manaslu is a dream for many climbers.,O O O O B-Mountain O O O O O O
1079,Kangchenjunga is the highest mountain in its region.,B-Mountain O O O O O O O
1080,Photographers love capturing the beauty of Lhotse.,O O O O O O O
1081,Manaslu has always been on my bucket list.,B-Mountain O O O O O O O
1082,We are planning an expedition to Annapurna next year.,O O O O O O B-Mountain O O
1083,Mountaineers often face severe weather conditions on Aconcagua.,O O O O O O O O
1084,The locals have a rich history of guiding climbers to the top of Mount Elbrus.,O O O O O O O O O O O O O B-Mountain O
1085,Dhaulagiri is famous for its extreme weather conditions.,B-Mountain O O O O O O O
1086,Manaslu is part of the Himalayas and stands as a symbol of beauty.,B-Mountain O O O O O O O O O O O O
1087,Do you know the history of expeditions to Lhotse?,O O O O O O O O O
1088,Mount Everest is a difficult peak to climb due to its technical demands.,B-Mountain I-Mountain O O O O O O O O O O O
1089,Standing on top of Makalu feels like being on top of the world.,O O O O B-Mountain O O O O O O O O
1090,Lhotse stands as one of the most iconic peaks in the world.,B-Mountain O O O O O O O O O O O
1091,Reaching the summit of Manaslu is a dream for many climbers.,O O O O B-Mountain O O O O O O
1092,Do you know the history of expeditions to Mount Kilimanjaro?,O O O O O O O O B-Mountain O
1093,Mount Kilimanjaro is often attempted by experienced mountaineers.,B-Mountain I-Mountain O O O O O O
1094,"After months of training, I’m finally ready to climb Mount Everest.",O O O O O O O O O B-Mountain O
1095,The base camp of Mount Fuji attracts adventurers from all over the world.,O O O O B-Mountain I-Mountain O O O O O O O
1096,We are planning an expedition to Mount Fuji next year.,O O O O O O B-Mountain I-Mountain O O
1097,Annapurna is known for its incredible views.,B-Mountain O O O O O O
1098,The ascent of Manaslu is both mentally and physically demanding.,O O O B-Mountain O O O O O O
1099,The glaciers of Kangchenjunga are stunning.,O O O B-Mountain O O
1100,Several expeditions to Annapurna have been successful this year.,O O O B-Mountain O O O O O
1101,"During the summer, we will try to summit Annapurna.",O O O O O O O O O
1102,Reaching the summit of Kangchenjunga is a dream for many climbers.,O O O O B-Mountain O O O O O O
1103,Mont Blanc has always been on my bucket list.,B-Mountain I-Mountain O O O O O O O
1104,I read an article about a recent expedition to Lhotse.,O O O O O O O O O O
1105,Photographers love capturing the beauty of Lhotse.,O O O O O O O
1106,The locals have a rich history of guiding climbers to the top of Mount Elbrus.,O O O O O O O O O O O O O B-Mountain O
1107,Mount Fuji is the highest mountain in its region.,B-Mountain I-Mountain O O O O O O O
1108,Several teams have attempted to climb Makalu this season.,O O O O O O B-Mountain O O
1109,Several expeditions to Annapurna have been successful this year.,O O O B-Mountain O O O O O
1110,K2 is famous for its extreme weather conditions.,B-Mountain O O O O O O O
1111,I met a group who had just returned from their climb of Annapurna.,O O O O O O O O O O O O O
1112,"After months of training, I’m finally ready to climb Manaslu.",O O O O O O O O O O
1113,Many climbers train for years to attempt Mont Blanc.,O O O O O O O B-Mountain O
1114,Mount Everest offers stunning panoramic views from its summit.,B-Mountain I-Mountain O O O O O O O
1115,Manaslu is famous for its extreme weather conditions.,B-Mountain O O O O O O O
1116,Denali is part of the Himalayas and stands as a symbol of beauty.,B-Mountain O O O O O O O O O O O O
1117,Lhotse is part of the Seven Summits challenge.,B-Mountain O O O O O O O
1118,The summit of Makalu is covered in snow all year round.,O O O B-Mountain O O O O O O O
1119,We are preparing for a climb to Mount Kilimanjaro.,O O O O O O O B-Mountain O
1120,"During the summer, we will try to summit Mount Everest.",O O O O O O O O B-Mountain O
1121,Many climbers train for years to attempt Dhaulagiri.,O O O O O O O O
1122,I plan to climb Mount Elbrus next summer.,O O O O B-Mountain I-Mountain O O
1123,"After months of training, I’m finally ready to climb Mont Blanc.",O O O O O O O O O B-Mountain O
1124,Mount Everest is a difficult peak to climb due to its technical demands.,B-Mountain I-Mountain O O O O O O O O O O O
1125,We are preparing for a climb to Mount Fuji.,O O O O O O O B-Mountain O
1126,Several teams have attempted to climb Lhotse this season.,O O O O O O B-Mountain O O
1127,Kangchenjunga is known for its incredible views.,B-Mountain O O O O O O
1128,Mount Kilimanjaro has always been on my bucket list.,B-Mountain I-Mountain O O O O O O O
1129,I plan to climb Dhaulagiri next summer.,O O O O B-Mountain O O
1130,The ascent of Mount Elbrus is both mentally and physically demanding.,O O O B-Mountain I-Mountain O O O O O O
1131,We visited the base camp of K2.,O O O O O O O
1132,Hiking around Aconcagua is an unforgettable experience.,O O B-Mountain O O O O
1133,Makalu is a less crowded mountain compared to some others.,B-Mountain O O O O O O O O O
1134,Mount Fuji is one of the tallest peaks in the world.,B-Mountain I-Mountain O O O O O O O O O
1135,The view from the top of Makalu is breathtaking.,O O O O O O B-Mountain O O
1136,The locals have a rich history of guiding climbers to the top of Kangchenjunga.,O O O O O O O O O O O O O O
1137,Mount Elbrus is part of the Seven Summits challenge.,B-Mountain I-Mountain O O O O O O O
1138,The weather near Mount Fuji can change rapidly.,O O O B-Mountain I-Mountain O O O
1139,The view from the top of Kangchenjunga is breathtaking.,O O O O O O B-Mountain O O
1140,Mount Fuji is one of the tallest peaks in the world.,B-Mountain I-Mountain O O O O O O O O O
1141,I met a group who had just returned from their climb of Mount Elbrus.,O O O O O O O O O O O O B-Mountain O
1142,Scaling Manaslu is considered a major achievement.,O B-Mountain O O O O O
1143,The summit of K2 is covered in snow all year round.,O O O B-Mountain O O O O O O O
1144,The base camp of Mount Everest attracts adventurers from all over the world.,O O O O B-Mountain I-Mountain O O O O O O O
1145,Makalu is part of the Himalayas and stands as a symbol of beauty.,B-Mountain O O O O O O O O O O O O
1146,"During the summer, we will try to summit K2.",O O O O O O O O O
1147,There are multiple routes to the summit of Mount Elbrus.,O O O O O O O O B-Mountain O
1148,There are multiple routes to the summit of Makalu.,O O O O O O O O O
1149,Denali is located in a remote area with harsh conditions.,B-Mountain O O O O O O O O O
1150,Many climbers train for years to attempt Makalu.,O O O O O O O O
1151,Many mountaineers attempt to conquer Denali every year.,O O O O O B-Mountain O O
1152,Lhotse is part of the Seven Summits challenge.,B-Mountain O O O O O O O
1153,Aconcagua is located in a remote area with harsh conditions.,B-Mountain O O O O O O O O O
1154,There are strict environmental regulations around Cho Oyu.,O O O O O O B-Mountain O
1155,Dhaulagiri stands as one of the most iconic peaks in the world.,B-Mountain O O O O O O O O O O O
1156,Makalu is a less crowded mountain compared to some others.,B-Mountain O O O O O O O O O
1157,K2 is one of the tallest peaks in the world.,B-Mountain O O O O O O O O O
1158,Kangchenjunga is famous for its extreme weather conditions.,B-Mountain O O O O O O O
1159,Annapurna stands as one of the most iconic peaks in the world.,B-Mountain O O O O O O O O O O O
1160,Cho Oyu is located in a remote area with harsh conditions.,B-Mountain I-Mountain O O O O O O O O O
1161,The local guides know the best routes to summit Mont Blanc.,O O O O O O O O O B-Mountain O
1162,Dhaulagiri offers stunning panoramic views from its summit.,B-Mountain O O O O O O O
1163,Have you ever been to Lhotse?,O O O O O O
1164,The altitude of K2 poses a significant challenge.,O O O B-Mountain O O O O
1165,Climbers often talk about the challenges of scaling Manaslu.,O O O O O O O O O
1166,Standing on top of Mont Blanc feels like being on top of the world.,O O O O B-Mountain I-Mountain O O O O O O O O
1167,Mount Fuji is known for its long and dangerous ascent.,B-Mountain I-Mountain O O O O O O O O
1168,Climbers usually spend weeks acclimatizing before attempting Makalu.,O O O O O O O O
1169,Photographers love capturing the beauty of Denali.,O O O O O O O
1170,Several expeditions to Manaslu have been successful this year.,O O O B-Mountain O O O O O
1171,"After months of training, I’m finally ready to climb Mount Everest.",O O O O O O O O O B-Mountain O
1172,I plan to climb Aconcagua next summer.,O O O O B-Mountain O O
1173,"After months of training, I’m finally ready to climb Cho Oyu.",O O O O O O O O O B-Mountain O
1174,Many climbers train for years to attempt Mount Fuji.,O O O O O O O B-Mountain O
1175,The summit of Mont Blanc is covered in snow all year round.,O O O B-Mountain I-Mountain O O O O O O O
1176,I plan to climb Makalu next summer.,O O O O B-Mountain O O
1177,The view from the top of Makalu is breathtaking.,O O O O O O B-Mountain O O
1178,The weather near Mount Fuji can change rapidly.,O O O B-Mountain I-Mountain O O O
1179,Scaling Mount Everest is considered a major achievement.,O B-Mountain I-Mountain O O O O O
1180,"After months of training, I’m finally ready to climb Aconcagua.",O O O O O O O O O O
1181,I read an article about a recent expedition to Denali.,O O O O O O O O O O
1182,Hiking around Mount Elbrus is an unforgettable experience.,O O B-Mountain I-Mountain O O O O
1183,Makalu has always been on my bucket list.,B-Mountain O O O O O O O
1184,Do you know the history of expeditions to Mont Blanc?,O O O O O O O O B-Mountain O
1185,There are strict environmental regulations around Mount Everest.,O O O O O O B-Mountain O
1186,I read an article about a recent expedition to Mount Fuji.,O O O O O O O O O B-Mountain O
1187,The wildlife near Annapurna is as stunning as the mountain itself.,O O O B-Mountain O O O O O O O
1188,There are strict environmental regulations around Lhotse.,O O O O O O O
1189,Scaling Mount Everest is considered a major achievement.,O B-Mountain I-Mountain O O O O O
1190,The view from the top of Lhotse is breathtaking.,O O O O O O B-Mountain O O
1191,We visited the base camp of Dhaulagiri.,O O O O O O O
1192,Cho Oyu is a popular destination for adventurous travelers.,B-Mountain I-Mountain O O O O O O O
1193,I met a group who had just returned from their climb of Manaslu.,O O O O O O O O O O O O O
1194,The view from the top of Aconcagua is breathtaking.,O O O O O O B-Mountain O O
1195,Do you know the history of expeditions to Mount Everest?,O O O O O O O O B-Mountain O
1196,Denali is the highest mountain in its region.,B-Mountain O O O O O O O
1197,"After months of training, I’m finally ready to climb Cho Oyu.",O O O O O O O O O B-Mountain O
1198,The landscape around Annapurna is truly breathtaking.,O O O B-Mountain O O O
1199,Cho Oyu is located in a remote area with harsh conditions.,B-Mountain I-Mountain O O O O O O O O O
1200,We are preparing for a climb to Cho Oyu.,O O O O O O O B-Mountain O
1201,Standing on top of Denali feels like being on top of the world.,O O O O B-Mountain O O O O O O O O
1202,Scaling Cho Oyu is considered a major achievement.,O B-Mountain I-Mountain O O O O O
1203,Several teams have attempted to climb Annapurna this season.,O O O O O O B-Mountain O O
1204,I hope to reach the top of Kangchenjunga one day.,O O O O O O O B-Mountain O O
1205,Denali offers stunning panoramic views from its summit.,B-Mountain O O O O O O O
1206,We are planning an expedition to Mount Elbrus next year.,O O O O O O B-Mountain I-Mountain O O
1207,Mont Blanc has always been on my bucket list.,B-Mountain I-Mountain O O O O O O O
1208,Denali has always been on my bucket list.,B-Mountain O O O O O O O
1209,Mont Blanc stands as one of the most iconic peaks in the world.,B-Mountain I-Mountain O O O O O O O O O O O
1210,Mont Blanc is often attempted by experienced mountaineers.,B-Mountain I-Mountain O O O O O O
1211,Reaching the summit of Denali is a dream for many climbers.,O O O O B-Mountain O O O O O O
1212,The view from the top of Makalu is breathtaking.,O O O O O O B-Mountain O O
1213,The landscape around Mount Everest is truly breathtaking.,O O O B-Mountain I-Mountain O O O
1214,Mount Everest stands as one of the most iconic peaks in the world.,B-Mountain I-Mountain O O O O O O O O O O O
1215,The glaciers of Mount Elbrus are stunning.,O O O B-Mountain I-Mountain O O
1216,Mount Everest is located in a remote area with harsh conditions.,B-Mountain I-Mountain O O O O O O O O O
1217,Scaling K2 is considered a major achievement.,O B-Mountain O O O O O
1218,Mountaineers often face severe weather conditions on Manaslu.,O O O O O O O O
1219,Mount Elbrus is part of the Himalayas and stands as a symbol of beauty.,B-Mountain I-Mountain O O O O O O O O O O O O
1220,"During the summer, we will try to summit Lhotse.",O O O O O O O O O
1221,We are planning an expedition to K2 next year.,O O O O O O B-Mountain O O
1222,I met a group who had just returned from their climb of Dhaulagiri.,O O O O O O O O O O O O O
1223,Scaling Mount Elbrus is considered a major achievement.,O B-Mountain I-Mountain O O O O O
1224,"During the summer, we will try to summit Makalu.",O O O O O O O O O
1225,Mountaineers often face severe weather conditions on Mont Blanc.,O O O O O O O B-Mountain O
1226,There are strict environmental regulations around K2.,O O O O O O O
1227,Dhaulagiri is located in a remote area with harsh conditions.,B-Mountain O O O O O O O O O
1228,Annapurna is a less crowded mountain compared to some others.,B-Mountain O O O O O O O O O
1229,Have you ever been to Kangchenjunga?,O O O O O O
1230,Do you know the history of expeditions to Makalu?,O O O O O O O O O
1231,Dhaulagiri is the highest mountain in its region.,B-Mountain O O O O O O O
1232,We are preparing for a climb to Kangchenjunga.,O O O O O O O O
1233,Reaching the summit of Kangchenjunga is a dream for many climbers.,O O O O B-Mountain O O O O O O
1234,The locals have a rich history of guiding climbers to the top of Denali.,O O O O O O O O O O O O O O
1235,The landscape around Denali is truly breathtaking.,O O O B-Mountain O O O
1236,I plan to climb Annapurna next summer.,O O O O B-Mountain O O
1237,The altitude of Denali poses a significant challenge.,O O O B-Mountain O O O O
1238,We are preparing for a climb to Mount Elbrus.,O O O O O O O B-Mountain O
1239,The weather near Mount Elbrus can change rapidly.,O O O B-Mountain I-Mountain O O O
1240,The base camp of Mount Elbrus attracts adventurers from all over the world.,O O O O B-Mountain I-Mountain O O O O O O O
1241,The wildlife near Dhaulagiri is as stunning as the mountain itself.,O O O B-Mountain O O O O O O O
1242,The ascent of K2 is both mentally and physically demanding.,O O O B-Mountain O O O O O O
1243,"After months of training, I’m finally ready to climb Mount Kilimanjaro.",O O O O O O O O O B-Mountain O
1244,The locals have a rich history of guiding climbers to the top of Makalu.,O O O O O O O O O O O O O O
1245,The glaciers of Makalu are stunning.,O O O B-Mountain O O
1246,Makalu is a popular destination for adventurous travelers.,B-Mountain O O O O O O O
1247,The weather near Makalu can change rapidly.,O O O B-Mountain O O O
1248,The altitude of Kangchenjunga poses a significant challenge.,O O O B-Mountain O O O O
1249,The locals have a rich history of guiding climbers to the top of Mount Fuji.,O O O O O O O O O O O O O B-Mountain O
1250,The glaciers of Dhaulagiri are stunning.,O O O B-Mountain O O
1251,The base camp of Denali attracts adventurers from all over the world.,O O O O B-Mountain O O O O O O O
1252,The locals have a rich history of guiding climbers to the top of Mount Fuji.,O O O O O O O O O O O O O B-Mountain O
1253,Mount Everest offers stunning panoramic views from its summit.,B-Mountain I-Mountain O O O O O O O
1254,Scaling Dhaulagiri is considered a major achievement.,O B-Mountain O O O O O
1255,Mont Blanc is located in a remote area with harsh conditions.,B-Mountain I-Mountain O O O O O O O O O
1256,The altitude of Aconcagua poses a significant challenge.,O O O B-Mountain O O O O
1257,Aconcagua offers stunning panoramic views from its summit.,B-Mountain O O O O O O O
1258,"After months of training, I’m finally ready to climb Cho Oyu.",O O O O O O O O O B-Mountain O
1259,We are planning an expedition to Cho Oyu next year.,O O O O O O B-Mountain I-Mountain O O
1260,The base camp of Kangchenjunga attracts adventurers from all over the world.,O O O O B-Mountain O O O O O O O
1261,I hope to reach the top of Aconcagua one day.,O O O O O O O B-Mountain O O
1262,The weather near Mount Elbrus can change rapidly.,O O O B-Mountain I-Mountain O O O
1263,Mountaineers often face severe weather conditions on Manaslu.,O O O O O O O O
1264,Climbers often talk about the challenges of scaling Manaslu.,O O O O O O O O O
1265,The locals have a rich history of guiding climbers to the top of Denali.,O O O O O O O O O O O O O O
1266,Mont Blanc has always been on my bucket list.,B-Mountain I-Mountain O O O O O O O
1267,We are planning an expedition to Mount Kilimanjaro next year.,O O O O O O B-Mountain I-Mountain O O
1268,"During the summer, we will try to summit K2.",O O O O O O O O O
1269,Manaslu has always been on my bucket list.,B-Mountain O O O O O O O
1270,Manaslu has always been on my bucket list.,B-Mountain O O O O O O O
1271,Many mountaineers attempt to conquer Mount Kilimanjaro every year.,O O O O O B-Mountain I-Mountain O O
1272,Several expeditions to Manaslu have been successful this year.,O O O B-Mountain O O O O O
1273,We are planning an expedition to Dhaulagiri next year.,O O O O O O B-Mountain O O
1274,The base camp of Annapurna attracts adventurers from all over the world.,O O O O B-Mountain O O O O O O O
1275,Annapurna is famous for its extreme weather conditions.,B-Mountain O O O O O O O
1276,The base camp of Manaslu attracts adventurers from all over the world.,O O O O B-Mountain O O O O O O O
1277,"During the summer, we will try to summit Mount Fuji.",O O O O O O O O B-Mountain O
1278,"After months of training, I’m finally ready to climb Aconcagua.",O O O O O O O O O O
1279,We are planning an expedition to Mount Kilimanjaro next year.,O O O O O O B-Mountain I-Mountain O O
1280,Climbers often talk about the challenges of scaling Denali.,O O O O O O O O O
1281,Photographers love capturing the beauty of Manaslu.,O O O O O O O
1282,Cho Oyu is often attempted by experienced mountaineers.,B-Mountain I-Mountain O O O O O O
1283,Have you ever been to Mont Blanc?,O O O O O B-Mountain O
1284,Several teams have attempted to climb Dhaulagiri this season.,O O O O O O B-Mountain O O
1285,Several teams have attempted to climb Lhotse this season.,O O O O O O B-Mountain O O
1286,Aconcagua is often attempted by experienced mountaineers.,B-Mountain O O O O O O
1287,Several expeditions to Mount Kilimanjaro have been successful this year.,O O O B-Mountain I-Mountain O O O O O
1288,I hope to reach the top of Mount Elbrus one day.,O O O O O O O B-Mountain I-Mountain O O
1289,Lhotse is a less crowded mountain compared to some others.,B-Mountain O O O O O O O O O
1290,The glaciers of Mount Everest are stunning.,O O O B-Mountain I-Mountain O O
1291,The ascent of K2 is both mentally and physically demanding.,O O O B-Mountain O O O O O O
1292,Lhotse is famous for its extreme weather conditions.,B-Mountain O O O O O O O
1293,Scaling K2 is considered a major achievement.,O B-Mountain O O O O O
1294,The local guides know the best routes to summit Mont Blanc.,O O O O O O O O O B-Mountain O
1295,The glaciers of Denali are stunning.,O O O B-Mountain O O
1296,I plan to climb Dhaulagiri next summer.,O O O O B-Mountain O O
1297,K2 is known for its incredible views.,B-Mountain O O O O O O
1298,I hope to reach the top of Manaslu one day.,O O O O O O O B-Mountain O O
1299,K2 is a less crowded mountain compared to some others.,B-Mountain O O O O O O O O O
1300,There are multiple routes to the summit of Makalu.,O O O O O O O O O
1301,Denali is a popular destination for adventurous travelers.,B-Mountain O O O O O O O
1302,Reaching the summit of Aconcagua is a dream for many climbers.,O O O O B-Mountain O O O O O O
1303,Lhotse is famous for its extreme weather conditions.,B-Mountain O O O O O O O
1304,K2 is known for its incredible views.,B-Mountain O O O O O O
1305,Mont Blanc stands as one of the most iconic peaks in the world.,B-Mountain I-Mountain O O O O O O O O O O O
1306,I hope to reach the top of K2 one day.,O O O O O O O B-Mountain O O
1307,Standing on top of K2 feels like being on top of the world.,O O O O B-Mountain O O O O O O O O
1308,The local guides know the best routes to summit K2.,O O O O O O O O O O
1309,"During the summer, we will try to summit Mount Everest.",O O O O O O O O B-Mountain O
1310,Several expeditions to Denali have been successful this year.,O O O B-Mountain O O O O O
1311,I met a group who had just returned from their climb of Denali.,O O O O O O O O O O O O O
1312,"After months of training, I’m finally ready to climb Mount Kilimanjaro.",O O O O O O O O O B-Mountain O
1313,The glaciers of Aconcagua are stunning.,O O O B-Mountain O O
1314,Hiking around Mount Everest is an unforgettable experience.,O O B-Mountain I-Mountain O O O O
1315,The base camp of Dhaulagiri attracts adventurers from all over the world.,O O O O B-Mountain O O O O O O O
1316,Annapurna is a less crowded mountain compared to some others.,B-Mountain O O O O O O O O O
1317,I plan to climb Mount Elbrus next summer.,O O O O B-Mountain I-Mountain O O
1318,Climbers often talk about the challenges of scaling Mount Fuji.,O O O O O O O O B-Mountain O
1319,The locals have a rich history of guiding climbers to the top of Lhotse.,O O O O O O O O O O O O O O
1320,The locals have a rich history of guiding climbers to the top of Mount Fuji.,O O O O O O O O O O O O O B-Mountain O
1321,K2 is one of the tallest peaks in the world.,B-Mountain O O O O O O O O O
1322,There are multiple routes to the summit of Manaslu.,O O O O O O O O O
1323,Mountaineers often face severe weather conditions on Denali.,O O O O O O O O
1324,The local guides know the best routes to summit Denali.,O O O O O O O O O O
1325,Dhaulagiri is known for its long and dangerous ascent.,B-Mountain O O O O O O O O
1326,Climbers usually spend weeks acclimatizing before attempting Mount Elbrus.,O O O O O O O B-Mountain O
1327,Mountaineers often face severe weather conditions on Mount Everest.,O O O O O O O B-Mountain O
1328,I hope to reach the top of Lhotse one day.,O O O O O O O B-Mountain O O
1329,The landscape around Mount Fuji is truly breathtaking.,O O O B-Mountain I-Mountain O O O
1330,Many mountaineers attempt to conquer Mount Kilimanjaro every year.,O O O O O B-Mountain I-Mountain O O
1331,The glaciers of Denali are stunning.,O O O B-Mountain O O
1332,There are multiple routes to the summit of Cho Oyu.,O O O O O O O O B-Mountain O
1333,Annapurna is a difficult peak to climb due to its technical demands.,B-Mountain O O O O O O O O O O O
1334,Mount Elbrus has always been on my bucket list.,B-Mountain I-Mountain O O O O O O O
1335,The summit of Kangchenjunga is covered in snow all year round.,O O O B-Mountain O O O O O O O
1336,Have you ever been to Dhaulagiri?,O O O O O O
1337,Mount Everest is famous for its extreme weather conditions.,B-Mountain I-Mountain O O O O O O O
1338,Many mountaineers attempt to conquer Lhotse every year.,O O O O O B-Mountain O O
1339,Lhotse offers stunning panoramic views from its summit.,B-Mountain O O O O O O O
1340,The ascent of Manaslu is both mentally and physically demanding.,O O O B-Mountain O O O O O O
1341,Standing on top of Aconcagua feels like being on top of the world.,O O O O B-Mountain O O O O O O O O
1342,Hiking around Mount Elbrus is an unforgettable experience.,O O B-Mountain I-Mountain O O O O
1343,Cho Oyu is famous for its extreme weather conditions.,B-Mountain I-Mountain O O O O O O O
1344,I read an article about a recent expedition to Mount Everest.,O O O O O O O O O B-Mountain O
1345,There are multiple routes to the summit of K2.,O O O O O O O O O
1346,Dhaulagiri offers stunning panoramic views from its summit.,B-Mountain O O O O O O O
1347,"During the summer, we will try to summit Mont Blanc.",O O O O O O O O B-Mountain O
1348,Mount Kilimanjaro is famous for its extreme weather conditions.,B-Mountain I-Mountain O O O O O O O
1349,The local guides know the best routes to summit Mount Fuji.,O O O O O O O O O B-Mountain O
1350,Mont Blanc is often attempted by experienced mountaineers.,B-Mountain I-Mountain O O O O O O
1351,Aconcagua is located in a remote area with harsh conditions.,B-Mountain O O O O O O O O O
1352,"During the summer, we will try to summit Aconcagua.",O O O O O O O O O
1353,The glaciers of Aconcagua are stunning.,O O O B-Mountain O O
1354,Have you ever been to Mount Elbrus?,O O O O O B-Mountain O
1355,I plan to climb Makalu next summer.,O O O O B-Mountain O O
1356,The view from the top of Mount Elbrus is breathtaking.,O O O O O O B-Mountain I-Mountain O O
1357,Cho Oyu is the highest mountain in its region.,B-Mountain I-Mountain O O O O O O O
1358,Do you know the history of expeditions to Denali?,O O O O O O O O O
1359,There are multiple routes to the summit of Mont Blanc.,O O O O O O O O B-Mountain O
1360,Dhaulagiri is famous for its extreme weather conditions.,B-Mountain O O O O O O O
1361,The altitude of Manaslu poses a significant challenge.,O O O B-Mountain O O O O
1362,I met a group who had just returned from their climb of Mount Everest.,O O O O O O O O O O O O B-Mountain O
1363,There are multiple routes to the summit of Mont Blanc.,O O O O O O O O B-Mountain O
1364,The base camp of Dhaulagiri attracts adventurers from all over the world.,O O O O B-Mountain O O O O O O O
1365,"During the summer, we will try to summit Dhaulagiri.",O O O O O O O O O
1366,Kangchenjunga is a less crowded mountain compared to some others.,B-Mountain O O O O O O O O O
1367,The base camp of Dhaulagiri attracts adventurers from all over the world.,O O O O B-Mountain O O O O O O O
1368,Many mountaineers attempt to conquer Kangchenjunga every year.,O O O O O B-Mountain O O
1369,Many mountaineers attempt to conquer K2 every year.,O O O O O B-Mountain O O
1370,Mont Blanc is the highest mountain in its region.,B-Mountain I-Mountain O O O O O O O
1371,Many mountaineers attempt to conquer Aconcagua every year.,O O O O O B-Mountain O O
1372,The landscape around Lhotse is truly breathtaking.,O O O B-Mountain O O O
1373,The landscape around Dhaulagiri is truly breathtaking.,O O O B-Mountain O O O
1374,We are preparing for a climb to Mount Fuji.,O O O O O O O B-Mountain O
1375,Reaching the summit of Mount Kilimanjaro is a dream for many climbers.,O O O O B-Mountain I-Mountain O O O O O O
1376,The ascent of K2 is both mentally and physically demanding.,O O O B-Mountain O O O O O O
1377,The weather near Mount Fuji can change rapidly.,O O O B-Mountain I-Mountain O O O
1378,The ascent of Makalu is both mentally and physically demanding.,O O O B-Mountain O O O O O O
1379,"After months of training, I’m finally ready to climb Makalu.",O O O O O O O O O O
1380,Mount Fuji is one of the tallest peaks in the world.,B-Mountain I-Mountain O O O O O O O O O
1381,Mount Elbrus is a difficult peak to climb due to its technical demands.,B-Mountain I-Mountain O O O O O O O O O O O
1382,I met a group who had just returned from their climb of Mount Kilimanjaro.,O O O O O O O O O O O O B-Mountain O
1383,The summit of Lhotse is covered in snow all year round.,O O O B-Mountain O O O O O O O
1384,Mountaineers often face severe weather conditions on Mont Blanc.,O O O O O O O B-Mountain O
1385,The altitude of Makalu poses a significant challenge.,O O O B-Mountain O O O O
1386,The landscape around Manaslu is truly breathtaking.,O O O B-Mountain O O O
1387,The view from the top of Cho Oyu is breathtaking.,O O O O O O B-Mountain I-Mountain O O
1388,"After months of training, I’m finally ready to climb Dhaulagiri.",O O O O O O O O O O
1389,Have you ever been to Makalu?,O O O O O O
1390,The glaciers of Lhotse are stunning.,O O O B-Mountain O O
1391,Climbers often talk about the challenges of scaling Annapurna.,O O O O O O O O O
1392,Mont Blanc is a popular destination for adventurous travelers.,B-Mountain I-Mountain O O O O O O O
1393,Manaslu is a less crowded mountain compared to some others.,B-Mountain O O O O O O O O O
1394,Hiking around Annapurna is an unforgettable experience.,O O B-Mountain O O O O
1395,Aconcagua has always been on my bucket list.,B-Mountain O O O O O O O
